"district_name","eligible_first_vote","valid_first_vote","percent_eligible_first_vote"
"Borken II",199978,155771,0.581939799331104
"Reutlingen",199934,155803,0.585284280936455
"Saarbrücken",199885,145298,0.588628762541806
"Frankfurt am Main I",199775,143049,0.591973244147157
"Düren",199675,149838,0.595317725752508
"Rottweil – Tuttlingen",199227,150030,0.59866220735786
"Osnabrück-Land",199131,150076,0.602006688963211
"Harburg",199081,160512,0.605351170568562
"Schweinfurt",199041,154269,0.608695652173913
"Berlin-Charlottenburg-Wilmersdorf",198672,156114,0.612040133779264
"Bergstraße",198418,153739,0.615384615384615
"Gotha – Ilm-Kreis",198341,145595,0.618729096989967
"Rhein-Neckar",198251,154416,0.622073578595318
"Erding – Ebersberg",198198,162248,0.625418060200669
"Calw",198021,151724,0.62876254180602
"Unna I",197873,149385,0.632107023411371
"Stade I – Rotenburg II",197297,151852,0.635451505016722
"Main-Taunus",197291,158525,0.638795986622074
"Mannheim",197289,142574,0.642140468227425
"Koblenz",196999,149009,0.645484949832776
"Stadt Osnabrück",196720,149408,0.648829431438127
"Tübingen",196488,158186,0.652173913043478
"Bruchsal – Schwetzingen",196426,152358,0.655518394648829
"Main-Spessart",196183,155377,0.658862876254181
"Osterholz – Verden",196136,151768,0.662207357859532
"Chemnitz",195929,145553,0.665551839464883
"Ahrweiler",195618,149595,0.668896321070234
"Steinfurt III",195571,151177,0.672240802675585
"Nienburg II – Schaumburg",194800,145477,0.675585284280936
"Frankfurt (Oder) – Oder-Spree",194759,137959,0.678929765886288
"Stuttgart I",194368,159677,0.682274247491639
"Diepholz – Nienburg I",193934,146818,0.68561872909699
"Stadt Hannover II",193433,147624,0.688963210702341
"Düsseldorf II",193175,141828,0.692307692307692
"Vogtlandkreis",193081,140355,0.695652173913043
"Coesfeld – Steinfurt II",192946,154379,0.698996655518395
"Essen III",192918,152104,0.702341137123746
"Trier",192846,149338,0.705685618729097
"Köln I",192574,138196,0.709030100334448
"Homburg",192410,143321,0.712374581939799
"Hamburg-Eimsbüttel",192399,154730,0.71571906354515
"Nürnberg-Nord",192214,144923,0.719063545150502
"Braunschweig",192041,146350,0.722408026755853
"Burgenland – Saalekreis",191636,128915,0.725752508361204
"Aurich – Emden",191541,139584,0.729096989966555
"Donau-Ries",190782,146456,0.732441471571906
"Mönchengladbach",190552,130443,0.735785953177257
"Heinsberg",190051,140604,0.739130434782609
"Recklinghausen II",189376,136147,0.74247491638796
"Wiesbaden",189372,137965,0.745819397993311
"Friesland – Wilhelmshaven – Wittmund",189344,137343,0.749163879598662
"Schwalm-Eder",188074,143087,0.752508361204013
"Mülheim – Essen I",187746,141064,0.755852842809365
"Cuxhaven – Stade II",187679,140293,0.759197324414716
"Hameln-Pyrmont – Holzminden",187377,138469,0.762541806020067
"Ravensburg",186958,144657,0.765886287625418
"Waldeck",186825,140638,0.769230769230769
"Nordfriesland – Dithmarschen Nord",186568,137897,0.77257525083612
"Hamburg-Altona",185944,144929,0.775919732441472
"Kreuznach",185172,137794,0.779264214046823
"Uckermark – Barnim I",184716,127876,0.782608695652174
"Berlin-Spandau – Charlottenburg Nord",184608,130574,0.785953177257525
"Helmstedt – Wolfsburg",183961,135832,0.789297658862876
"Zollernalb – Sigmaringen",183588,137194,0.792642140468227
"Chemnitzer Umland – Erzgebirgskreis II",183483,136670,0.795986622073579
"Aschaffenburg",183362,142890,0.79933110367893
"Marburg",183296,140566,0.802675585284281
"Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I",183182,125798,0.806020066889632
"Bamberg",182513,144133,0.809364548494983
"Stuttgart II",182501,137837,0.812709030100334
"Berlin-Reinickendorf",182398,134860,0.816053511705686
"Nürnberg-Süd",181809,130675,0.819397993311037
"Lübeck",181638,128733,0.822742474916388
"Ostholstein – Stormarn-Nord",181522,137289,0.826086956521739
"Hochtaunus",181516,144260,0.82943143812709
"Lüchow-Dannenberg – Lüneburg",180865,139618,0.832775919732441
"Erlangen",180730,147160,0.836120401337793
"Stadt Hannover I",179883,133415,0.839464882943144
"Main-Kinzig – Wetterau II – Schotten",179307,135869,0.842809364548495
"Aachen I",179273,139357,0.846153846153846
"Herne – Bochum II",179247,125744,0.849498327759197
"Krefeld II – Wesel II",179118,132097,0.852842809364548
"Cottbus – Spree-Neiße",178676,129723,0.8561872909699
"Ennepe-Ruhr-Kreis II",178506,134376,0.859531772575251
"Göppingen",178409,135470,0.862876254180602
"Waldshut",177806,135059,0.866220735785953
"Pirmasens",177687,132235,0.869565217391304
"Hanau",177469,132059,0.872909698996655
"St. Wendel",177468,138769,0.876254180602007
"Passau",177387,130171,0.879598662207358
"Dessau – Wittenberg",177005,121399,0.882943143812709
"Backnang – Schwäbisch Gmünd",176968,134801,0.88628762541806
"Steinburg – Dithmarschen Süd",176636,130883,0.889632107023411
"Wetterau I",176435,136921,0.892976588628763
"Prignitz – Ostprignitz-Ruppin – Havelland I",176002,118415,0.896321070234114
"Werra-Meißner – Hersfeld-Rotenburg",175992,131232,0.899665551839465
"Gelsenkirchen",175210,117421,0.903010033444816
"Plön – Neumünster",174937,130489,0.906354515050167
"Groß-Gerau",174727,130857,0.909698996655518
"Straubing",173953,128050,0.91304347826087
"Mosel/Rhein-Hunsrück",172876,132828,0.916387959866221
"Bodensee",172782,135794,0.919732441471572
"Kulmbach",170897,133677,0.923076923076923
"Lippe I",170501,127277,0.926421404682274
"Recklinghausen I",169267,122242,0.929765886287625
"Esslingen",168715,134118,0.933110367892977
"Rottal-Inn",168642,123060,0.936454849498328
"Elbe-Elster – Oberspreewald-Lausitz II",168543,120848,0.939799331103679
"Weiden",168415,128191,0.94314381270903
"Altötting",168221,125538,0.946488294314381
