"constituency_name","constituency_number","eligible_first_vote","valid_first_vote","percent_eligible_first_vote","margin","cum_percent_margin"
"Märkischer Kreis II",150,200546,142093,0.578595317725752,1176,0.979933110367893
"Borken II",126,199978,155771,0.581939799331104,42084,0.117056856187291
"Reutlingen",289,199934,155803,0.585284280936455,40097,0.133779264214047
"Saarbrücken",296,199885,145298,0.588628762541806,1024,0.986622073578595
"Frankfurt am Main I",182,199775,143049,0.591973244147157,4959,0.849498327759197
"Düren",90,199675,149838,0.595317725752508,15168,0.535117056856187
"Rottweil – Tuttlingen",285,199227,150030,0.59866220735786,40703,0.130434782608696
"Osnabrück-Land",38,199131,150076,0.602006688963211,25941,0.331103678929766
"Harburg",36,199081,160512,0.605351170568562,21206,0.431438127090301
"Schweinfurt",250,199041,154269,0.608695652173913,47555,0.0668896321070234
"Berlin-Charlottenburg-Wilmersdorf",80,198672,156114,0.612040133779264,3954,0.892976588628763
"Bergstraße",188,198418,153739,0.615384615384615,18373,0.474916387959866
"Gotha – Ilm-Kreis",192,198341,145595,0.618729096989967,7423,0.789297658862876
"Rhein-Neckar",277,198251,154416,0.622073578595318,20902,0.438127090301003
"Erding – Ebersberg",213,198198,162248,0.625418060200669,54081,0.0434782608695652
"Calw",280,198021,151724,0.62876254180602,40075,0.137123745819398
"Unna I",144,197873,149385,0.632107023411371,10567,0.682274247491639
"Stade I – Rotenburg II",30,197297,151852,0.635451505016722,24634,0.357859531772575
"Main-Taunus",181,197291,158525,0.638795986622074,31963,0.22742474916388
"Mannheim",275,197289,142574,0.642140468227425,2017,0.949832775919732
"Koblenz",199,196999,149009,0.645484949832776,18817,0.468227424749164
"Stadt Osnabrück",39,196720,149408,0.648829431438127,12906,0.591973244147157
"Tübingen",290,196488,158186,0.652173913043478,26249,0.321070234113712
"Bruchsal – Schwetzingen",278,196426,152358,0.655518394648829,33482,0.207357859531773
"Main-Spessart",249,196183,155377,0.658862876254181,37258,0.180602006688963
"Osterholz – Verden",34,196136,151768,0.662207357859532,11055,0.658862876254181
"Chemnitz",162,195929,145553,0.665551839464883,3695,0.896321070234114
"Ahrweiler",198,195618,149595,0.668896321070234,23062,0.394648829431438
"Steinfurt III",128,195571,151177,0.672240802675585,21881,0.414715719063545
"Nienburg II – Schaumburg",40,194800,145477,0.675585284280936,11513,0.638795986622074
"Frankfurt (Oder) – Oder-Spree",63,194759,137959,0.678929765886288,7083,0.79933110367893
"Stuttgart I",258,194368,159677,0.682274247491639,3688,0.899665551839465
"Diepholz – Nienburg I",33,193934,146818,0.68561872909699,25363,0.347826086956522
"Stadt Hannover II",42,193433,147624,0.688963210702341,7031,0.806020066889632
"Düsseldorf II",107,193175,141828,0.692307692307692,9223,0.722408026755853
"Vogtlandkreis",166,193081,140355,0.695652173913043,12676,0.602006688963211
"Coesfeld – Steinfurt II",127,192946,154379,0.698996655518395,43427,0.103678929765886
"Essen III",120,192918,152104,0.702341137123746,9564,0.712374581939799
"Trier",203,192846,149338,0.705685618729097,6328,0.822742474916388
"Köln I",93,192574,138196,0.709030100334448,884,0.989966555183946
"Homburg",299,192410,143321,0.712374581939799,3080,0.916387959866221
"Hamburg-Eimsbüttel",20,192399,154730,0.71571906354515,4504,0.866220735785953
"Nürnberg-Nord",244,192214,144923,0.719063545150502,8272,0.755852842809365
"Braunschweig",50,192041,146350,0.722408026755853,9760,0.709030100334448
"Burgenland – Saalekreis",73,191636,128915,0.725752508361204,13142,0.578595317725752
"Aurich – Emden",24,191541,139584,0.729096989966555,30700,0.25752508361204
"Donau-Ries",254,190782,146456,0.732441471571906,42208,0.11371237458194
"Mönchengladbach",109,190552,130443,0.735785953177257,26000,0.327759197324415
"Heinsberg",89,190051,140604,0.739130434782609,24820,0.354515050167224
"Recklinghausen II",122,189376,136147,0.74247491638796,9037,0.729096989966555
"Wiesbaden",179,189372,137965,0.745819397993311,7913,0.769230769230769
"Friesland – Wilhelmshaven – Wittmund",26,189344,137343,0.749163879598662,9967,0.695652173913043
"Schwalm-Eder",170,188074,143087,0.752508361204013,10378,0.68561872909699
"Mülheim – Essen I",118,187746,141064,0.755852842809365,5007,0.846153846153846
"Cuxhaven – Stade II",29,187679,140293,0.759197324414716,16853,0.491638795986622
"Hameln-Pyrmont – Holzminden",46,187377,138469,0.762541806020067,7949,0.765886287625418
"Ravensburg",294,186958,144657,0.765886287625418,26542,0.311036789297659
"Waldeck",167,186825,140638,0.769230769230769,2072,0.939799331103679
"Nordfriesland – Dithmarschen Nord",2,186568,137897,0.77257525083612,27571,0.297658862876254
"Hamburg-Altona",19,185944,144929,0.775919732441472,4372,0.872909698996655
"Kreuznach",201,185172,137794,0.779264214046823,7602,0.779264214046823
"Uckermark – Barnim I",57,184716,127876,0.782608695652174,13298,0.568561872909699
"Berlin-Spandau – Charlottenburg Nord",78,184608,130574,0.785953177257525,1593,0.969899665551839
"Helmstedt – Wolfsburg",51,183961,135832,0.789297658862876,4230,0.876254180602007
"Zollernalb – Sigmaringen",295,183588,137194,0.792642140468227,41978,0.120401337792642
"Chemnitzer Umland – Erzgebirgskreis II",163,183483,136670,0.795986622073579,11624,0.635451505016722
"Aschaffenburg",247,183362,142890,0.79933110367893,45048,0.0802675585284281
"Marburg",171,183296,140566,0.802675585284281,3326,0.906354515050167
"Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I",60,183182,125798,0.806020066889632,8443,0.745819397993311
"Bamberg",236,182513,144133,0.809364548494983,31200,0.247491638795987
"Stuttgart II",259,182501,137837,0.812709030100334,20697,0.441471571906354
"Berlin-Reinickendorf",77,182398,134860,0.816053511705686,17772,0.481605351170569
"Nürnberg-Süd",245,181809,130675,0.819397993311037,11890,0.622073578595318
"Lübeck",11,181638,128733,0.822742474916388,1854,0.956521739130435
"Ostholstein – Stormarn-Nord",9,181522,137289,0.826086956521739,14764,0.54180602006689
"Hochtaunus",176,181516,144260,0.82943143812709,24378,0.361204013377926
"Lüchow-Dannenberg – Lüneburg",37,180865,139618,0.832775919732441,7571,0.782608695652174
"Erlangen",242,180730,147160,0.836120401337793,31802,0.234113712374582
"Stadt Hannover I",41,179883,133415,0.839464882943144,8062,0.762541806020067
"Main-Kinzig – Wetterau II – Schotten",175,179307,135869,0.842809364548495,11017,0.662207357859532
"Aachen I",87,179273,139357,0.846153846153846,1702,0.963210702341137
"Herne – Bochum II",141,179247,125744,0.849498327759197,22311,0.408026755852843
"Krefeld II – Wesel II",114,179118,132097,0.852842809364548,6598,0.812709030100334
"Cottbus – Spree-Neiße",64,178676,129723,0.8561872909699,4079,0.88628762541806
"Ennepe-Ruhr-Kreis II",139,178506,134376,0.859531772575251,5060,0.839464882943144
"Göppingen",263,178409,135470,0.862876254180602,21162,0.434782608695652
"Waldshut",288,177806,135059,0.866220735785953,24006,0.381270903010033
"Pirmasens",210,177687,132235,0.869565217391304,10691,0.675585284280936
"Hanau",180,177469,132059,0.872909698996655,6471,0.816053511705686
"St. Wendel",298,177468,138769,0.876254180602007,15858,0.505016722408027
"Passau",229,177387,130171,0.879598662207358,37224,0.183946488294314
"Dessau – Wittenberg",70,177005,121399,0.882943143812709,19261,0.461538461538462
"Backnang – Schwäbisch Gmünd",269,176968,134801,0.88628762541806,28624,0.284280936454849
"Steinburg – Dithmarschen Süd",3,176636,130883,0.889632107023411,20593,0.444816053511706
"Wetterau I",177,176435,136921,0.892976588628763,10118,0.692307692307692
"Prignitz – Ostprignitz-Ruppin – Havelland I",56,176002,118415,0.896321070234114,8420,0.749163879598662
"Werra-Meißner – Hersfeld-Rotenburg",169,175992,131232,0.899665551839465,14731,0.545150501672241
"Gelsenkirchen",123,175210,117421,0.903010033444816,15249,0.531772575250836
"Plön – Neumünster",6,174937,130489,0.906354515050167,15381,0.525083612040134
"Groß-Gerau",184,174727,130857,0.909698996655518,3621,0.903010033444816
"Straubing",231,173953,128050,0.91304347826087,39451,0.1438127090301
"Mosel/Rhein-Hunsrück",200,172876,132828,0.916387959866221,25119,0.351170568561873
"Bodensee",293,172782,135794,0.919732441471572,31714,0.237458193979933
"Kulmbach",240,170897,133677,0.923076923076923,52611,0.0501672240802676
"Lippe I",135,170501,127277,0.926421404682274,5618,0.832775919732441
"Recklinghausen I",121,169267,122242,0.929765886287625,9465,0.71571906354515
"Esslingen",261,168715,134118,0.933110367892977,27968,0.290969899665552
"Rottal-Inn",230,168642,123060,0.936454849498328,36825,0.187290969899666
"Elbe-Elster – Oberspreewald-Lausitz II",65,168543,120848,0.939799331103679,5803,0.82943143812709
"Weiden",235,168415,128191,0.94314381270903,30671,0.260869565217391
"Altötting",212,168221,125538,0.946488294314381,51949,0.0535117056856187
"Rotenburg I – Heidekreis",35,168101,126097,0.949832775919732,6428,0.819397993311037
"Duisburg I",115,167998,118768,0.953177257525084,11402,0.645484949832776
"Hof",239,167552,125858,0.956521739130435,29541,0.274247491638796
"Weilheim",226,167159,133038,0.959866220735786,44062,0.0936454849498328
"Biberach",292,167025,130082,0.963210702341137,35803,0.190635451505017
"Deggendorf",227,166659,118391,0.966555183946488,31555,0.244147157190635
"Altmark",66,165625,109455,0.969899665551839,14671,0.548494983277592
"Bad Tölz-Wolfratshausen – Miesbach",223,165527,131254,0.973244147157191,44679,0.0869565217391304
"Schwarzwald-Baar",286,165041,123690,0.976588628762542,37477,0.167224080267559
"Bitburg",202,164480,124382,0.979933110367893,31702,0.240802675585284
"Bayreuth",237,163934,126171,0.983277591973244,31880,0.230769230769231
"Nordsachsen",151,163916,116438,0.986622073578595,6963,0.809364548494983
"Essen II",119,163326,108754,0.989966555183946,11689,0.62876254180602
"Mettmann II",105,163229,123986,0.993311036789298,11221,0.652173913043478
"Duisburg II",116,160204,100308,0.996655518394649,8277,0.752508361204013
"Coburg",238,159654,121693,1,22915,0.40133779264214
